date,comment_num,like_num,Subjuctivity,Polarity,Class_sentiment_negative,Class_sentiment_neutral,Class_sentiment_positive,total_count_tweet,Open,Close,change,Class_target
2018-04-10,119,761,104.97809764309764,51.78642586580087,40,176,149,589,19.931334,20.313334,5.192296050675011,1.0
2018-04-11,448,2585,243.99793131207417,57.95669078540507,147,287,288,1368,20.049334,20.062,-1.2372858143325953,-1.0
2018-04-12,468,3004,278.1810760020403,100.3602438157081,130,335,366,1930,20.154667,19.605333,-2.2762785365367333,-1.0
2018-04-13,685,4173,402.0562809227809,83.83698761423761,211,391,479,2012,20.24,20.022667,2.1286759067035317,1.0
2018-04-14,255,1635,133.00712028976315,29.371181910681912,77,126,145,783,20.24,20.022667,2.1286759067035317,1.0
2018-04-15,231,1269,154.5602198172198,41.922274943310654,90,117,175,586,20.24,20.022667,2.1286759067035317,1.0
2018-04-16,407,2277,260.9056058201058,38.95595472582973,164,248,267,1366,19.933332,19.414,-3.039889740962066,-1.0
2018-04-17,782,4510,389.0786814296814,63.15072613035113,255,455,419,2080,19.257999,19.179333,-1.2087514165035629,-1.0
2018-04-18,559,3198,297.14420666833166,57.93785335497835,180,360,336,1437,19.405333,19.556667,1.9673989705481478,1.0
2018-04-19,400,2408,223.1410563973064,44.92937950937951,117,241,262,1199,19.405333,20.005333,2.2941843822364993,1.0
2018-04-20,348,2057,178.6057928229178,34.53588776501277,110,213,211,982,19.677999,19.349333,-3.279125621153114,-1.0
2018-04-21,219,951,90.7270769085412,19.89371339242768,44,75,111,440,19.677999,19.349333,-3.279125621153114,-1.0
