Date,Open,High,Low,Close,Adj Close,Volume,change,Class_target
2019-01-29,19.684668,19.903999,19.453333,19.830667,19.830667,69325500,0.3643970516836949,1
2019-01-30,20.030001,20.6,19.899332,20.584667,20.584667,168754500,3.8021918274357662,1
2019-01-31,20.066668,20.770666,19.6,20.468,20.468,188538000,-0.5667665160675158,-1
2019-02-01,20.361334,21.073334,20.233334,20.813999,20.813999,109251000,1.6904387336329836,1
2019-02-04,20.865334,21.02,20.125334,20.859333,20.859333,110281500,0.2178053338044286,1
2019-02-05,20.832666,21.496,20.816668,21.423332,21.423332,101142000,2.7038208748093675,1
2019-02-06,21.306,21.615999,21.041332,21.148001,21.148001,75577500,-1.2851922380701462,-1
2019-02-07,20.886667,20.98,20.200001,20.500668,20.500668,97809000,-3.060965431200801,-1
2019-02-08,20.455334,20.496668,19.9,20.386667,20.386667,87663000,-0.556084318813425,-1
2019-02-11,20.773333,21.24,20.700001,20.856001,20.856001,106945500,2.302161505850858,1
2019-02-12,21.08,21.212667,20.641333,20.787333,20.787333,82764000,-0.3292481621956138,-1
2019-02-13,20.823334,20.85,20.371332,20.544666,20.544666,77124000,-1.1673791919338612,-1
2019-02-14,20.225332,20.451332,20.066668,20.251333,20.251333,78012000,-1.427781790173666,-1
2019-02-15,20.299999,20.533333,20.26,20.525333,20.525333,58573500,1.3529973557790045,1
2019-02-19,20.437332,20.769333,20.364668,20.375999,20.375999,62526000,-0.7275594505579989,-1
2019-02-20,20.294001,20.42,19.933332,20.170668,20.170668,107131500,-1.007710100496182,-1
2019-02-21,20.120667,20.216,19.366667,19.415333,19.415333,133638000,-3.744719807990488,-1
2019-02-22,19.632668,19.766666,19.473333,19.647333,19.647333,86109000,1.19493186132836,1
2019-02-25,19.860666,20.193333,19.799999,19.917999,19.917999,99397500,1.3776220925252225,1
2019-02-26,19.481333,20.134001,19.251333,19.857332,19.857332,128737500,-0.3045838088454503,-1
2019-02-27,20.118668,21.086666,20.036667,20.982668,20.982668,167758500,5.667105732028858,1
2019-02-28,21.261333,21.333332,20.720667,21.325333,21.325333,157810500,1.6330859354968597,1
2019-03-01,20.462667,20.475332,19.459999,19.652666,19.652666,343671000,-7.843568023064402,-1
2019-03-04,19.874666,19.933332,18.851999,19.024,19.024,256452000,-3.1988840598013475,-1
2019-03-05,18.799999,18.933332,18.006666,18.436001,18.436001,281470500,-3.0908273759461724,-1
2019-03-06,18.431999,18.767332,18.292667,18.416,18.416,155032500,-0.108488820324975,-1
2019-03-07,18.589333,18.98,18.283333,18.439333,18.439333,141637500,0.1266996090356263,1
2019-03-08,18.460667,19.039333,18.392668,18.942667,18.942667,132294000,2.7296757426095555,1
2019-03-11,18.901333,19.418667,18.700001,19.394667,19.394667,110884500,2.3861476316930355,1
2019-03-12,19.099333,19.204666,18.737333,18.890667,18.890667,112561500,-2.598652505866679,-1
2019-03-13,18.926666,19.466,18.846666,19.264,19.264,102670500,1.9762827855681264,1
2019-03-14,19.496668,19.692667,19.219334,19.330667,19.330667,106551000,0.3460703903654429,1
2019-03-15,18.900667,18.914667,18.293333,18.362,18.362,221782500,-5.011037642932859,-1
2019-03-18,18.4,18.536667,17.82,17.966,17.966,154215000,-2.156627818320429,-1
2019-03-19,17.833332,18.219999,17.563999,17.831333,17.831333,177009000,-0.7495658465991334,-1
2019-03-20,17.979334,18.331333,17.753332,18.24,18.24,103623000,2.2918477266954613,1
2019-03-21,18.173332,18.43,17.896667,18.268,18.268,89206500,0.1535087719298369,1
2019-03-22,18.172001,18.186666,17.6,17.635332,17.635332,131184000,-3.4632581563389664,-1
2019-03-25,17.313999,17.545334,16.964001,17.361334,17.361334,153225000,-1.5536877899435004,-1
2019-03-26,17.629333,18.017332,17.628668,17.851334,17.851334,110263500,2.822363765365046,1
2019-03-27,17.916668,18.358,17.878668,18.322001,18.322001,131688000,2.636592873115246,1
2019-03-28,18.477333,18.688667,18.34,18.574667,18.574667,101611500,1.3790305982408877,1
2019-03-29,18.58,18.677334,18.299999,18.657333,18.657333,89869500,0.44504700945648,1
2019-04-01,18.841333,19.280001,18.752001,19.278667,19.278667,121656000,3.330240179558339,1
2019-04-02,19.219999,19.296,18.925333,19.058666,19.058666,82183500,-1.1411629237643863,-1
2019-04-03,19.154667,19.744667,19.144667,19.454,19.454,118791000,2.0743004783230994,1
2019-04-04,17.459333,18.08,17.372667,17.851999,17.851999,355810500,-8.234815462115767,-1
2019-04-05,17.990667,18.406668,17.740667,18.330667,18.330667,195574500,2.681313168346015,1
2019-04-08,18.512667,18.743999,18.029333,18.213333,18.213333,156156000,-0.640096729704378,-1
2019-04-09,18.110001,18.333332,17.974001,18.153999,18.153999,88560000,-0.325772333927018,-1
2019-04-10,18.449333,18.558666,18.192667,18.403999,18.403999,105919500,1.3771070495266635,1
2019-04-11,17.886667,18.033333,17.706667,17.894667,17.894667,147538500,-2.767507214057122,-1
2019-04-12,18.014668,18.129999,17.788668,17.846666,17.846666,101190000,-0.2682419292854083,-1
2019-04-15,17.908667,17.925333,17.242001,17.758667,17.758667,150579000,-0.4930836941757073,-1
2019-04-16,17.716667,18.333332,17.648001,18.224001,18.224001,109093500,2.620320545455366,1
2019-04-17,18.316668,18.319332,17.902666,18.082001,18.082001,76897500,-0.7791922311681142,-1
2019-04-18,18.082001,18.322666,17.983334,18.217333,18.217333,88144500,0.7484348662517949,1
2019-04-22,17.933332,17.978666,17.498667,17.516666,17.516666,182206500,-3.846155746288434,-1
2019-04-23,17.343332,17.706667,17.049999,17.593332,17.593332,164158500,0.4376746122806672,1
2019-04-24,17.59,17.688,17.200001,17.243999,17.243999,160912500,-1.9855988621143592,-1
2019-04-25,17.0,17.266666,16.404667,16.508667,16.508667,327741000,-4.264277677121181,-1
2019-04-26,16.433332,16.445333,15.408667,15.676,15.676,335410500,-5.04381728700445,-1
2019-04-29,15.724,16.265333,15.478,16.098,16.098,250717500,2.692013268690985,1
2019-04-30,16.137333,16.280666,15.8,15.912667,15.912667,141969000,-1.1512796620698111,-1
2019-05-01,15.923333,16.0,15.433333,15.600667,15.600667,160566000,-1.96070212491722,-1
2019-05-02,16.368,16.475332,15.848,16.273333,16.273333,272389500,4.311777182347405,1
2019-05-03,16.257334,17.107332,16.232668,17.002001,17.002001,355602000,4.477681369882856,1
2019-05-06,16.667999,17.223333,16.566668,17.022667,17.022667,162508500,0.1215503986854166,1
2019-05-07,17.120001,17.147333,16.34,16.470667,16.470667,151971000,-3.2427351131288638,-1
2019-05-08,16.462667,16.706667,16.280001,16.322666,16.322666,92646000,-0.898573202894559,-1
2019-05-09,16.133333,16.245333,15.796,16.132,16.132,100671000,-1.1681057493916756,-1
2019-05-10,15.983333,16.132668,15.734667,15.968,15.968,105124500,-1.016612943218457,-1
2019-05-13,15.467333,15.498,14.966667,15.134,15.134,162522000,-5.2229458917835645,-1
2019-05-14,15.286667,15.633333,15.2,15.487333,15.487333,108786000,2.3346967093960567,1
2019-05-15,15.288,15.496,15.016667,15.463333,15.463333,109440000,-0.1549653513616523,-1
2019-05-16,15.299333,15.4,15.1,15.222,15.222,112249500,-1.560679059294661,-1
2019-05-17,14.797333,14.816,13.928,14.068667,14.068667,266800500,-7.576750755485481,-1
2019-05-20,13.52,13.733333,13.016667,13.690667,13.690667,307893000,-2.686821715234287,-1
2019-05-21,13.184,13.826667,13.069333,13.672,13.672,270058500,-0.1363483605291026,-1
2019-05-22,13.273333,13.596,12.785333,12.848667,12.848667,280278000,-6.02203774136922,-1
2019-05-23,12.956,13.298,12.414667,13.032667,13.032667,398206500,1.4320551696140873,1
2019-05-24,13.322,13.332,12.583333,12.708667,12.708667,212049000,-2.4860606044794964,-1
2019-05-28,12.746667,13.0,12.523333,12.58,12.58,154693500,-1.01243505711496,-1
2019-05-29,12.473333,12.826,12.336,12.657333,12.657333,179529000,0.6147297297297252,1
2019-05-30,12.583333,12.817333,12.468,12.548,12.548,118897500,-0.8637917640311705,-1
2019-05-31,12.34,12.661333,12.273333,12.344,12.344,156100500,-1.625757092763792,-1
2019-06-03,12.367333,12.445333,11.799333,11.931333,11.931333,195966000,-3.3430573558003807,-1
2019-06-04,12.073333,12.932,11.974,12.906667,12.906667,207112500,8.174560210497855,1
2019-06-05,13.245333,13.418667,12.79,13.106,13.106,202662000,1.5444188650718216,1
2019-06-06,13.629333,14.066667,13.453333,13.73,13.73,303633000,4.7611780863726585,1
2019-06-07,13.666667,14.056,13.566667,13.633333,13.633333,240052500,-0.7040568099053173,-1
2019-06-10,14.016667,14.462667,13.934,14.192,14.192,158775000,4.097802056180978,1
2019-06-11,14.609333,14.726667,14.233333,14.473333,14.473333,174802500,1.9823351183765503,1
2019-06-12,14.863333,14.892,13.933333,13.950667,13.950667,227962500,-3.611234537338434,-1
2019-06-13,14.025333,14.326667,13.834,14.260667,14.260667,122524500,2.22211597481325,1
2019-06-14,14.083333,14.443333,14.026667,14.328,14.328,111501000,0.4721588408171907,1
2019-06-17,14.365333,15.133333,14.284667,15.002,15.002,184752000,4.704075935231724,1
2019-06-18,15.248,15.649333,14.837333,14.982667,14.982667,190737000,-0.1288694840688,-1
2019-06-19,15.007333,15.184667,14.737333,15.095333,15.095333,98626500,0.7519755995377914,1
